,MMX (64-bit),SSE/AVX (128-bit),AVX2 (256-bit),AVX512 (512-bit)
V256f::operator<=,,,,
V256f::operator>=,,,,
V256f::operator<,,,,
V256f::operator>,,,,
V256f::operator==,,,,
V256f::operator+=,,,,
V256f::operator-=,,,,
V256f::operator*=,,,,
V256f::operator/=,,,,
equalMemberwise,,,,
operator+,,,,
operator-,,,,
operator*,,,,
operator/,,,,
fma,,,,
fmsub,,,,
fnma,,,,
fnmsub,,,,
abs,,,,
ceil,,,,
floor,,,,
round,,,,
lerp,,,,
sqrt,,,,
rsqrt,,,,
reciprocal,,,,
max,,,,
min,,,,
